Target,index,lag_1,debt,stocks,dow_jones,markets,unemployment,money,stock_market,crisis,nasdaq,finance,invest
1,115,1,-0.01,-0.04,0.0,0.08,0.0,0.04,0.01,0.02,-0.29,-0.07,-0.01
1,116,1,0.02,0.02,0.0,0.07,0.0,-0.02,0.01,0.05,-0.74,-0.01,0.06
1,117,1,0.0,0.0,0.0,0.02,0.0,0.0,0.01,0.08,-0.15,-0.01,-0.03
0,118,1,0.0,0.03,0.0,-0.04,0.01,0.01,0.0,0.15,-0.02,-0.02,0.04
0,119,0,-0.02,-0.02,0.01,-0.07,-0.01,0.01,0.0,0.04,-0.02,-0.04,-0.02
1,120,0,-0.03,-0.05,0.01,0.04,-0.01,-0.02,0.0,-0.06,0.01,-0.01,0.01
0,121,1,-0.04,-0.04,0.0,0.06,-0.01,-0.02,0.0,-0.15,0.01,-0.04,-0.08
0,122,0,-0.03,-0.08,-0.01,0.03,0.0,0.0,-0.02,-0.09,-0.08,-0.05,-0.03
1,123,0,-0.01,-0.02,0.0,-0.03,0.01,0.0,-0.01,-0.1,-0.04,-0.01,-0.02
0,124,1,0.02,-0.03,0.01,-0.02,0.01,-0.03,-0.01,-0.06,-0.02,0.02,0.05
1,125,0,0.0,-0.01,0.0,-0.04,0.0,-0.04,0.0,-0.11,0.06,0.05,-0.01
0,126,1,0.02,-0.05,-0.01,-0.05,0.0,-0.05,-0.01,-0.09,-0.01,0.02,0.0
0,127,0,-0.02,-0.01,-0.01,-0.03,0.0,0.0,-0.01,-0.02,-0.03,-0.02,-0.06
1,128,0,0.06,0.01,0.0,0.05,0.01,0.01,0.0,0.03,-0.03,-0.01,-0.01
1,129,1,0.0,0.04,0.0,0.05,0.0,0.05,0.0,0.08,0.05,0.01,0.0
1,130,1,0.04,0.02,0.0,0.0,0.0,0.01,0.0,0.03,0.03,0.04,0.02
0,131,1,-0.04,-0.01,0.0,-0.02,0.0,0.0,-0.01,0.0,0.01,-0.02,-0.01
1,132,0,-0.01,-0.02,0.0,0.01,0.0,-0.03,-0.01,-0.07,-0.06,-0.04,0.01
0,133,1,-0.02,-0.03,0.0,-0.06,0.0,0.0,-0.01,-0.06,-0.01,0.0,0.01
1,134,0,0.0,-0.01,0.0,-0.02,-0.01,0.0,0.0,-0.06,0.01,0.0,0.05
0,135,1,-0.02,-0.01,0.0,-0.06,-0.01,0.01,-0.01,-0.02,0.01,0.02,-0.03
1,136,0,-0.01,-0.02,0.0,-0.01,-0.01,0.01,0.0,0.02,-0.01,-0.05,-0.04
0,137,1,0.0,0.01,0.0,-0.02,0.0,0.0,0.0,0.05,-0.02,0.03,-0.05
1,138,0,0.01,0.03,0.0,0.01,0.0,0.03,0.02,0.06,-0.01,-0.01,-0.01
1,139,1,0.03,0.03,0.01,0.06,0.0,0.01,0.02,0.02,0.02,0.07,0.07
1,140,1,0.02,0.03,0.01,-0.01,0.01,0.04,0.03,0.02,0.04,0.01,0.04
1,141,1,0.02,0.04,0.0,0.01,0.0,-0.02,0.01,-0.01,0.07,0.03,0.0
1,142,1,-0.02,0.06,0.0,-0.03,0.01,0.0,0.01,0.02,0.05,-0.03,-0.04
0,143,1,0.0,0.02,0.0,0.02,0.0,-0.03,-0.01,0.03,0.01,0.02,-0.01
1,144,0,-0.01,-0.01,0.0,0.02,0.01,-0.01,0.0,-0.01,-0.06,-0.02,0.01
1,145,1,0.0,-0.01,-0.01,0.03,0.0,-0.03,-0.01,-0.02,-0.05,0.01,0.01
0,146,1,-0.01,0.0,-0.01,0.03,0.0,0.02,0.0,-0.01,-0.01,0.01,-0.01
0,147,0,-0.03,-0.03,0.0,-0.09,-0.01,0.0,0.01,0.0,0.0,-0.06,0.0
1,148,0,0.01,-0.02,0.0,-0.07,0.0,0.05,0.0,0.06,0.0,0.0,0.0
1,149,1,0.0,-0.01,0.0,-0.09,0.0,-0.01,0.0,0.04,-0.02,-0.03,0.02
0,150,1,0.03,0.0,0.0,0.04,0.01,0.02,-0.02,0.06,0.0,0.05,0.0
1,151,0,-0.05,0.0,0.0,-0.02,0.0,-0.04,-0.01,-0.1,0.01,-0.02,-0.07
0,152,1,-0.05,0.0,0.0,0.01,0.0,-0.02,0.01,-0.17,0.03,-0.04,0.01
1,153,0,0.0,0.03,0.0,-0.01,0.01,0.0,0.01,-0.09,0.0,0.01,0.07
1,154,1,0.04,0.04,0.0,0.0,0.01,0.03,0.01,0.01,-0.01,0.08,0.07
