Target,index,lag_1,debt,stocks,dow_jones,markets,unemployment,money,stock_market,crisis,nasdaq,finance,invest
0,706,0,0.24,0.183,0.06,0.41,0.04,0.563,0.093,0.26,0.237,0.487,0.437
1,707,0,0.23,0.17,0.057,0.387,0.037,0.55,0.09,0.253,0.217,0.47,0.44
1,708,1,0.227,0.163,0.053,0.37,0.037,0.57,0.083,0.253,0.207,0.46,0.437
0,709,1,0.24,0.157,0.047,0.363,0.037,0.567,0.08,0.267,0.187,0.44,0.423
1,710,0,0.25,0.163,0.047,0.377,0.04,0.573,0.08,0.287,0.19,0.45,0.413
1,711,1,0.26,0.167,0.047,0.38,0.04,0.55,0.08,0.293,0.193,0.46,0.407
1,712,1,0.267,0.173,0.047,0.383,0.04,0.56,0.08,0.313,0.203,0.48,0.417
1,713,1,0.27,0.217,0.047,0.383,0.04,0.553,0.083,0.337,0.203,0.48,0.427
1,714,1,0.27,0.233,0.043,0.387,0.04,0.55,0.09,0.343,0.2,0.48,0.433
1,715,1,0.267,0.243,0.05,0.387,0.04,0.54,0.097,0.347,0.207,0.483,0.447
1,716,1,0.263,0.213,0.053,0.383,0.04,0.543,0.103,0.363,0.223,0.49,0.463
1,717,1,0.263,0.207,0.057,0.377,0.04,0.547,0.103,0.38,0.24,0.503,0.48
0,718,1,0.26,0.21,0.053,0.373,0.04,0.553,0.107,0.38,0.243,0.507,0.5
0,719,0,0.26,0.213,0.05,0.377,0.04,0.56,0.107,0.37,0.237,0.513,0.507
1,720,0,0.237,0.203,0.047,0.377,0.037,0.55,0.107,0.34,0.21,0.467,0.487
1,721,1,0.24,0.217,0.053,0.377,0.037,0.56,0.11,0.42,0.23,0.543,0.553
1,722,1,0.243,0.23,0.057,0.38,0.037,0.567,0.113,0.443,0.243,0.617,0.667
1,723,1,0.26,0.26,0.063,0.387,0.04,0.593,0.117,0.487,0.263,0.723,0.843
1,724,1,0.247,0.267,0.063,0.39,0.04,0.6,0.117,0.393,0.25,0.707,0.877
0,725,1,0.22,0.27,0.06,0.38,0.04,0.64,0.11,0.32,0.22,0.637,0.84
1,726,0,0.217,0.287,0.06,0.367,0.043,0.67,0.11,0.27,0.223,0.61,0.803
1,727,1,0.223,0.3,0.06,0.36,0.047,0.687,0.113,0.267,0.227,0.613,0.79
1,728,1,0.24,0.3,0.07,0.37,0.05,0.66,0.133,0.293,0.25,0.66,0.773
1,729,1,0.25,0.29,0.077,0.387,0.05,0.633,0.143,0.317,0.27,0.69,0.717
0,730,1,0.26,0.287,0.097,0.41,0.053,0.627,0.173,0.337,0.287,0.677,0.66
0,731,0,0.277,0.32,0.217,0.463,0.053,0.623,0.327,0.35,0.37,0.687,0.637
1,732,0,0.283,0.31,0.257,0.477,0.05,0.617,0.35,0.353,0.373,0.637,0.58
1,733,1,0.28,0.31,0.257,0.473,0.043,0.61,0.327,0.433,0.353,0.59,0.533
