date,start,unadjusted,pct_change,adjusted,normalised,monthly,debt,color,stocks,restaurant,portfolio,inflation,housing,dow_jones,revenue,economics,credit,markets,return,unemployment,money,religion,cancer,growth,investment,hedge,marriage,bonds,derivatives,headlines,profit,society,leverage,loss,cash,office,fine,stock_market,banking,crisis,happy,car,nasdaq,gains,finance,sell,invest,fed,house,metals,travel,returns,gain,default,present,holiday,water,rich,risk,gold,success,oil,war,economy,chance,lifestyle,greed,food,movie,nyse,ore,opportunity,health,earnings,arts,culture,bubble,buy,trader,tourism,politics,energy,consume,consumption,freedom,dividend,world,conflict,kitchen,forex,home,transaction,garden,fond,train,labor,fun,environment,ring,close
2017-11-29,0,83,1.34,30,7,14.933333333333335,15,23,22,34,38,24,43,3,6,26,62,17,46,4,39,46,41,53,32,9,5,17,2,15,26,28,3,50,2400,70,32,7,23,63,13,56,37,22,74,73,56,25,31,37,17,16,35,28,44,7,17,14,50,19,14,32,30,38,11,25,1,50,36,0,35,10,28,14,22,18,50,27,17,7,6,59,2,18,26,40,10,56,54,16,63,25,28,24,28,3,45,26,60,23940.6796875
2017-11-30,0,84,1.01,30,7,14.966666666666667,16,23,21,35,41,21,41,4,7,26,68,19,45,4,38,43,41,54,28,9,5,16,2,15,24,28,3,51,2500,75,35,7,25,45,14,56,30,26,75,73,48,24,32,34,16,15,37,27,45,7,18,15,51,19,15,32,26,40,11,26,1,51,36,0,37,11,28,14,22,17,47,27,18,7,6,60,2,17,26,42,10,56,52,17,63,26,28,24,28,3,48,23,54,24272.349609375
2017-12-01,0,100,1.19,36,8,15.0,14,23,20,42,35,21,40,5,6,27,78,19,44,4,39,41,39,47,26,10,5,16,2,16,23,28,3,44,2700,73,33,8,28,34,16,59,25,18,70,73,42,23,33,30,16,15,32,27,43,7,17,14,46,18,13,30,19,37,11,27,1,52,40,0,25,9,25,13,21,16,47,27,18,7,7,59,2,18,26,38,14,48,55,18,63,23,31,28,30,3,50,20,53,24231.58984375
2017-12-02,0,44,0.44,16,4,15.129032258064516,12,22,13,53,25,15,30,1,3,16,68,16,39,2,36,30,33,36,17,9,4,11,1,10,16,24,2,43,2800,52,33,4,21,27,14,63,9,23,31,79,36,18,39,15,15,14,28,16,30,8,16,14,28,20,8,36,15,21,13,22,1,57,56,0,40,5,15,8,20,10,45,32,23,4,5,32,1,16,21,28,11,19,69,11,72,16,38,24,37,2,46,10,62,24231.58984375
2017-12-03,0,38,0.86,14,3,15.258064516129036,11,22,13,48,23,17,28,1,3,17,49,17,41,4,35,35,31,39,18,8,5,11,1,10,17,24,2,45,2500,36,32,3,17,27,13,59,7,19,23,76,33,14,36,15,16,15,30,15,36,8,16,14,30,20,8,35,15,26,12,24,1,57,56,0,39,6,14,10,17,12,45,32,26,6,5,32,1,14,20,25,10,27,69,12,70,16,37,20,35,2,44,12,66,24231.58984375
2017-12-04,0,92,2.42,33,8,15.387096774193544,15,22,20,35,35,23,44,4,7,27,68,20,47,5,38,42,38,50,28,9,6,17,2,14,23,28,3,51,2600,77,34,8,23,31,13,56,28,24,65,69,43,24,32,32,19,15,34,26,49,8,17,15,52,19,14,32,17,40,10,28,1,52,39,0,38,10,30,13,21,18,46,27,22,8,6,59,2,21,26,46,10,65,55,13,63,27,30,26,30,3,45,24,56,24290.05078125
2017-12-05,0,81,0.88,28,7,15.516129032258064,16,23,19,35,39,26,41,3,7,28,67,18,48,4,38,44,39,53,28,9,5,18,2,16,24,28,4,49,2600,75,33,6,23,32,14,56,28,24,61,70,43,22,31,40,20,15,33,27,49,7,17,15,52,19,14,31,16,38,13,25,1,49,36,0,33,10,28,16,20,18,45,27,19,8,7,61,2,19,28,43,10,68,53,16,61,27,30,25,26,3,47,24,53,24180.640625
2017-12-06,0,67,0.83,24,5,15.64516129032258,15,23,19,36,36,25,43,3,6,28,65,19,47,4,36,46,41,50,28,8,5,17,2,16,26,28,3,48,2500,74,35,6,23,30,15,56,24,24,56,75,51,23,31,35,17,16,35,28,47,7,17,15,50,18,14,30,17,40,11,27,1,50,36,0,30,11,28,13,21,19,45,27,18,8,6,57,2,22,26,42,10,67,53,17,61,30,30,23,26,3,47,22,54,24140.91015625
2017-12-07,0,83,1.24,30,7,15.774193548387096,15,24,20,36,37,22,40,3,6,28,66,18,47,4,39,49,40,50,28,10,5,17,2,15,25,27,3,46,2700,71,31,7,23,31,14,56,21,25,57,71,70,24,31,34,17,16,32,26,48,7,17,15,51,18,15,30,17,37,12,24,1,49,36,0,38,10,26,14,21,17,51,28,20,7,7,55,2,19,26,43,10,62,52,18,59,33,28,27,28,3,47,23,53,24211.48046875
2017-12-08,0,66,0.8,24,5,15.903225806451616,13,23,20,41,31,18,34,3,5,23,67,18,44,3,37,40,35,43,27,8,5,15,2,13,22,26,2,43,2600,68,32,6,24,27,16,56,22,19,55,69,62,23,31,32,16,17,32,25,44,7,17,13,43,18,11,30,15,36,14,23,1,51,42,0,34,9,24,12,20,16,48,28,19,7,6,55,1,16,24,40,11,55,54,19,59,30,32,24,30,3,50,19,52,24329.16015625
