date,start,unadjusted,pct_change,adjusted,normalised,monthly,debt,color,stocks,restaurant,portfolio,inflation,housing,dow_jones,revenue,economics,credit,markets,return,unemployment,money,religion,cancer,growth,investment,hedge,marriage,bonds,derivatives,headlines,profit,society,leverage,loss,cash,office,fine,stock_market,banking,crisis,happy,car,nasdaq,gains,finance,sell,invest,fed,house,metals,travel,returns,gain,default,present,holiday,water,rich,risk,gold,success,oil,war,economy,chance,lifestyle,greed,food,movie,nyse,ore,opportunity,health,earnings,arts,culture,bubble,buy,trader,tourism,politics,energy,consume,consumption,freedom,dividend,world,conflict,kitchen,forex,home,transaction,garden,fond,train,labor,fun,environment,ring,close
2011-04-05,0,49,1.0,11,3,9.733333333333333,0.19,0.17,0.13,0.39,0.33,0.29,0.51,0.01,0.14,0.26,0.57,0.22,0.44,0.08,0.35,0.41,0.43,0.39,0.37,0.15,0.07,0.15,0.02,0.06,0.26,0.49,0.03,0.44,0.13,0.53,0.3,0.02,0.29,0.29,0.05,0.52,0.12,0.17,0.37,0.5,0.19,0.27,0.31,0.26,0.19,0.08,0.28,0.32,0.25,0.02,0.18,0.16,0.42,0.13,0.21,0.22,0.17,0.38,0.08,0.3,0.0,0.39,0.27,0.0,0.38,0.1,0.26,0.14,0.35,0.19,0.55,0.22,0.22,0.19,0.08,0.67,0.01,0.16,0.28,0.29,0.12,0.31,0.32,0.28,0.41,0.29,0.34,0.36,0.21,0.04,0.62,0.26,0.35,12393.900390625
2011-04-06,0,46,0.94,11,2,9.666666666666666,0.19,0.17,0.13,0.4,0.36,0.26,0.53,0.01,0.12,0.27,0.56,0.22,0.41,0.07,0.34,0.43,0.42,0.36,0.37,0.16,0.06,0.15,0.03,0.06,0.26,0.46,0.03,0.44,0.14,0.54,0.29,0.02,0.29,0.29,0.06,0.52,0.07,0.16,0.36,0.52,0.17,0.3,0.31,0.26,0.19,0.09,0.29,0.34,0.3,0.02,0.18,0.14,0.45,0.14,0.25,0.22,0.17,0.36,0.08,0.3,0.0,0.38,0.27,0.0,0.38,0.1,0.25,0.18,0.35,0.19,0.59,0.21,0.21,0.19,0.09,0.63,0.01,0.2,0.29,0.32,0.12,0.35,0.31,0.4,0.41,0.25,0.34,0.31,0.2,0.04,0.62,0.27,0.32,12426.75
2011-04-07,0,51,1.11,12,3,9.6,0.18,0.17,0.15,0.42,0.38,0.26,0.5,0.01,0.14,0.25,0.56,0.2,0.43,0.06,0.33,0.43,0.42,0.41,0.36,0.18,0.06,0.13,0.02,0.06,0.26,0.46,0.04,0.44,0.15,0.51,0.28,0.02,0.29,0.31,0.06,0.52,0.08,0.14,0.36,0.48,0.21,0.3,0.3,0.26,0.18,0.07,0.28,0.32,0.31,0.02,0.17,0.14,0.42,0.13,0.23,0.22,0.18,0.39,0.07,0.27,0.01,0.4,0.28,0.0,0.44,0.09,0.23,0.15,0.36,0.18,0.59,0.21,0.21,0.19,0.08,0.65,0.01,0.16,0.28,0.25,0.13,0.37,0.31,0.32,0.4,0.28,0.35,0.29,0.22,0.03,0.6,0.31,0.29,12409.490234375
2011-04-08,0,54,1.06,13,3,9.533333333333333,0.2,0.17,0.13,0.48,0.3,0.21,0.47,0.01,0.14,0.24,0.58,0.21,0.42,0.06,0.33,0.42,0.41,0.36,0.34,0.14,0.06,0.15,0.02,0.06,0.24,0.41,0.05,0.41,0.15,0.52,0.28,0.02,0.3,0.29,0.06,0.51,0.08,0.15,0.36,0.47,0.18,0.29,0.32,0.26,0.17,0.07,0.27,0.32,0.26,0.02,0.16,0.13,0.39,0.14,0.2,0.22,0.17,0.32,0.06,0.25,0.0,0.39,0.35,0.0,0.35,0.09,0.21,0.16,0.35,0.16,0.62,0.21,0.22,0.19,0.06,0.56,0.01,0.17,0.26,0.26,0.11,0.31,0.33,0.27,0.4,0.25,0.38,0.25,0.21,0.03,0.66,0.23,0.32,12380.0498046875
2011-04-09,0,23,0.43,5,1,9.466666666666667,0.17,0.17,0.09,0.57,0.24,0.24,0.34,0.0,0.09,0.14,0.49,0.23,0.38,0.03,0.32,0.39,0.35,0.28,0.24,0.12,0.05,0.13,0.01,0.05,0.18,0.41,0.03,0.34,0.14,0.37,0.28,0.01,0.25,0.25,0.06,0.57,0.02,0.13,0.19,0.54,0.14,0.21,0.34,0.14,0.15,0.07,0.26,0.21,0.17,0.02,0.16,0.14,0.29,0.14,0.15,0.22,0.15,0.26,0.07,0.26,0.0,0.39,0.49,0.0,0.44,0.05,0.14,0.11,0.33,0.13,0.57,0.25,0.27,0.15,0.07,0.4,0.01,0.14,0.22,0.21,0.12,0.23,0.37,0.22,0.43,0.14,0.47,0.24,0.25,0.02,0.73,0.15,0.35,12380.0498046875
2011-04-10,0,27,1.17,6,1,9.4,0.16,0.17,0.09,0.48,0.24,0.19,0.36,0.0,0.1,0.2,0.42,0.21,0.41,0.12,0.34,0.48,0.32,0.33,0.25,0.15,0.06,0.13,0.02,0.04,0.23,0.42,0.03,0.41,0.13,0.31,0.26,0.01,0.2,0.25,0.06,0.57,0.03,0.14,0.16,0.58,0.13,0.17,0.34,0.12,0.18,0.07,0.26,0.22,0.19,0.02,0.17,0.14,0.32,0.14,0.17,0.23,0.19,0.33,0.08,0.28,0.0,0.42,0.46,0.0,0.53,0.08,0.14,0.14,0.32,0.17,0.59,0.27,0.27,0.19,0.06,0.41,0.01,0.16,0.26,0.19,0.13,0.24,0.38,0.32,0.44,0.15,0.49,0.18,0.25,0.03,0.68,0.17,0.42,12380.0498046875
2011-04-11,0,57,2.11,13,3,9.333333333333334,0.23,0.18,0.14,0.37,0.29,0.3,0.54,0.01,0.17,0.26,0.56,0.21,0.49,0.11,0.35,0.48,0.43,0.39,0.37,0.17,0.06,0.14,0.02,0.06,0.28,0.51,0.04,0.45,0.14,0.55,0.28,0.02,0.3,0.3,0.05,0.55,0.08,0.18,0.36,0.52,0.18,0.29,0.3,0.25,0.2,0.08,0.31,0.32,0.27,0.02,0.19,0.14,0.45,0.14,0.23,0.24,0.18,0.41,0.08,0.28,0.0,0.39,0.28,0.0,0.43,0.11,0.26,0.29,0.34,0.21,0.59,0.22,0.23,0.23,0.08,0.62,0.01,0.2,0.31,0.31,0.12,0.37,0.32,0.3,0.43,0.26,0.38,0.39,0.21,0.04,0.57,0.29,0.33,12381.1103515625
2011-04-12,0,50,0.88,12,3,9.266666666666667,0.26,0.18,0.12,0.38,0.34,0.27,0.53,0.01,0.19,0.27,0.56,0.24,0.51,0.08,0.35,0.48,0.43,0.46,0.38,0.17,0.07,0.17,0.02,0.06,0.29,0.49,0.03,0.48,0.13,0.54,0.28,0.02,0.29,0.36,0.05,0.54,0.07,0.18,0.36,0.51,0.17,0.33,0.33,0.28,0.2,0.09,0.3,0.35,0.28,0.02,0.19,0.14,0.46,0.14,0.22,0.24,0.22,0.42,0.08,0.25,0.0,0.4,0.27,0.0,0.37,0.1,0.26,0.18,0.36,0.2,0.59,0.2,0.22,0.19,0.07,0.64,0.01,0.21,0.29,0.32,0.12,0.39,0.3,0.28,0.42,0.29,0.34,0.27,0.21,0.04,0.63,0.25,0.32,12263.580078125
2011-04-13,0,47,0.94,11,2,9.2,0.29,0.18,0.13,0.39,0.35,0.28,0.51,0.01,0.19,0.28,0.56,0.22,0.51,0.07,0.34,0.53,0.44,0.41,0.38,0.15,0.07,0.36,0.02,0.08,0.27,0.47,0.03,0.46,0.15,0.54,0.29,0.02,0.29,0.31,0.06,0.54,0.08,0.15,0.35,0.49,0.21,0.34,0.31,0.25,0.19,0.08,0.29,0.3,0.3,0.02,0.18,0.15,0.47,0.13,0.22,0.23,0.2,0.43,0.07,0.26,0.01,0.41,0.26,0.0,0.38,0.11,0.24,0.21,0.37,0.2,0.62,0.2,0.2,0.21,0.07,0.65,0.01,0.21,0.31,0.29,0.12,0.42,0.31,0.25,0.42,0.32,0.35,0.26,0.22,0.04,0.63,0.29,0.32,12270.990234375
2011-04-14,0,53,1.13,12,3,9.133333333333333,0.25,0.19,0.13,0.39,0.32,0.24,0.51,0.01,0.22,0.25,0.59,0.23,0.54,0.06,0.33,0.46,0.42,0.41,0.39,0.17,0.06,0.3,0.02,0.05,0.26,0.45,0.03,0.44,0.13,0.55,0.32,0.03,0.29,0.31,0.07,0.53,0.09,0.18,0.36,0.49,0.18,0.3,0.31,0.27,0.18,0.09,0.29,0.32,0.3,0.02,0.18,0.16,0.44,0.13,0.23,0.23,0.18,0.44,0.08,0.25,0.01,0.4,0.29,0.0,0.37,0.1,0.25,0.23,0.36,0.19,0.67,0.2,0.22,0.19,0.08,0.65,0.01,0.22,0.29,0.3,0.12,0.38,0.32,0.26,0.42,0.28,0.37,0.2,0.22,0.04,0.63,0.27,0.33,12285.150390625
