Date,start,adjusted,unadjusted,monthly
2004-07-15,0,1,43,8.0
2004-07-16,0,1,40,8.0
2004-07-17,0,1,46,8.0
2004-07-18,0,1,51,8.0
2004-07-19,0,1,35,8.0
2004-07-20,0,1,35,8.0
2004-07-21,0,1,36,8.0
2004-07-22,0,1,53,8.0
2004-07-23,0,1,35,8.0
2004-07-24,0,1,34,8.0
2004-07-25,0,1,23,8.0
2004-07-26,0,1,40,8.0
2004-07-27,0,1,38,8.0
2004-07-28,0,1,39,8.0
2004-07-29,0,1,47,8.0
2004-07-30,0,1,36,8.0
2004-07-31,0,1,40,8.0
2004-08-01,0,1,23,8.0
2004-08-02,0,1,29,8.03225806451613
2004-08-03,0,1,74,8.064516129032258
2004-08-04,0,1,45,8.096774193548388
2004-08-05,0,1,53,8.129032258064516
2004-08-06,0,1,85,8.161290322580646
2004-08-07,0,1,28,8.193548387096774
2004-08-08,0,1,35,8.225806451612902
2004-08-09,0,1,42,8.258064516129032
2004-08-10,0,1,63,8.290322580645162
2004-08-11,0,1,64,8.32258064516129
2004-08-12,0,1,42,8.35483870967742
2004-08-13,0,1,68,8.387096774193548
2004-08-14,0,1,33,8.419354838709678
2004-08-15,0,1,45,8.451612903225808
2004-08-16,0,1,29,8.483870967741936
2004-08-17,0,1,63,8.516129032258064
2004-08-18,0,1,42,8.548387096774192
2004-08-19,0,1,58,8.580645161290322
2004-08-20,0,1,48,8.612903225806452
2004-08-21,0,1,21,8.64516129032258
2004-08-22,0,0,17,8.67741935483871
2004-08-23,0,1,34,8.709677419354838
2004-08-24,0,1,40,8.741935483870968
2004-08-25,0,1,40,8.774193548387098
2004-08-26,0,1,44,8.806451612903226
2004-08-27,0,1,40,8.838709677419354
2004-08-28,0,1,42,8.870967741935484
2004-08-29,0,1,26,8.903225806451612
2004-08-30,0,1,45,8.935483870967742
2004-08-31,0,1,48,8.967741935483874
2004-09-01,0,1,55,9.0
2004-09-02,0,1,44,9.066666666666666
2004-09-03,0,1,55,9.133333333333333
2004-09-04,0,1,27,9.2
2004-09-05,0,1,39,9.266666666666667
2004-09-06,0,1,28,9.333333333333334
2004-09-07,0,1,51,9.4
2004-09-08,0,1,49,9.466666666666667
2004-09-09,0,1,58,9.533333333333333
2004-09-10,0,1,50,9.6
2004-09-11,0,1,45,9.666666666666666
2004-09-12,0,1,53,9.733333333333333
2004-09-13,0,1,28,9.8
2004-09-14,0,1,62,9.866666666666667
2004-09-15,0,1,60,9.933333333333334
2004-09-16,0,1,53,10.0
2004-09-17,0,1,34,10.066666666666666
2004-09-18,0,1,54,10.133333333333333
2004-09-19,0,0,14,10.2
2004-09-20,0,1,43,10.266666666666666
2004-09-21,0,1,64,10.333333333333334
2004-09-22,0,1,71,10.4
2004-09-23,0,1,40,10.466666666666667
2004-09-24,0,1,77,10.533333333333333
2004-09-25,0,1,40,10.6
2004-09-26,0,1,44,10.666666666666666
2004-09-27,0,1,53,10.733333333333334
2004-09-28,0,1,43,10.8
2004-09-29,0,1,86,10.866666666666667
2004-09-30,0,1,78,10.933333333333335
2004-10-01,0,1,69,11.0
2004-10-02,0,1,29,11.032258064516132
2004-10-03,0,1,38,11.06451612903226
2004-10-04,0,2,84,11.096774193548386
2004-10-05,0,1,58,11.129032258064516
2004-10-06,0,1,74,11.161290322580648
2004-10-07,0,1,67,11.193548387096774
2004-10-08,0,1,62,11.225806451612904
2004-10-09,0,1,46,11.258064516129034
2004-10-10,0,1,68,11.290322580645164
2004-10-11,0,2,58,11.32258064516129
2004-10-12,0,1,46,11.35483870967742
2004-10-13,0,2,70,11.387096774193546
2004-10-14,0,1,82,11.419354838709678
2004-10-15,0,1,64,11.451612903225806
2004-10-16,0,1,49,11.483870967741936
2004-10-17,0,1,48,11.516129032258064
2004-10-18,0,2,63,11.548387096774194
2004-10-19,0,1,72,11.580645161290322
2004-10-20,0,1,77,11.612903225806454
2004-10-21,0,1,50,11.64516129032258
2004-10-22,0,1,47,11.67741935483871
2004-10-23,0,1,82,11.709677419354836
2004-10-24,0,1,47,11.741935483870966
2004-10-25,0,1,72,11.774193548387096
2004-10-26,0,2,90,11.806451612903226
2004-10-27,0,1,62,11.838709677419354
2004-10-28,0,2,81,11.870967741935484
2004-10-29,0,1,62,11.903225806451614
2004-10-30,0,1,14,11.93548387096774
2004-10-31,0,1,49,11.967741935483874
2004-11-01,0,2,92,12.0
2004-11-02,0,1,62,11.966666666666667
2004-11-03,0,2,65,11.933333333333335
2004-11-04,0,2,81,11.9
2004-11-05,0,2,81,11.866666666666667
2004-11-06,0,1,56,11.833333333333336
2004-11-07,0,1,28,11.8
2004-11-08,0,1,52,11.766666666666667
2004-11-09,0,1,63,11.733333333333333
2004-11-10,0,2,85,11.7
2004-11-11,0,2,91,11.666666666666664
2004-11-12,0,2,82,11.633333333333333
2004-11-13,0,1,46,11.6
2004-11-14,0,1,46,11.566666666666665
2004-11-15,0,2,61,11.533333333333333
2004-11-16,0,2,57,11.5
2004-11-17,0,2,79,11.466666666666667
2004-11-18,0,1,69,11.433333333333335
2004-11-19,0,2,69,11.4
2004-11-20,0,1,36,11.366666666666667
2004-11-21,0,1,26,11.333333333333336
2004-11-22,0,2,71,11.3
2004-11-23,0,2,67,11.266666666666667
2004-11-24,0,1,62,11.233333333333334
2004-11-25,0,1,41,11.2
2004-11-26,0,2,55,11.166666666666664
2004-11-27,0,1,62,11.133333333333333
2004-11-28,0,1,62,11.1
2004-11-29,0,2,61,11.066666666666665
2004-11-30,0,2,73,11.033333333333333
2004-12-01,0,1,79,11.0
2004-12-02,0,2,81,11.0
2004-12-03,0,2,89,11.0
2004-12-04,0,1,48,11.0
2004-12-05,0,1,26,11.0
2004-12-06,0,1,85,11.0
2004-12-07,0,2,87,11.0
2004-12-08,0,2,79,11.0
2004-12-09,0,1,66,11.0
2004-12-10,0,1,83,11.0
2004-12-11,0,1,51,11.0
2004-12-12,0,1,44,11.0
2004-12-13,0,1,59,11.0
2004-12-14,0,1,89,11.0
2004-12-15,0,2,84,11.0
2004-12-16,0,1,68,11.0
2004-12-17,0,1,53,11.0
2004-12-18,0,0,9,11.0
2004-12-19,0,1,49,11.0
2004-12-20,0,2,46,11.0
2004-12-21,0,1,52,11.0
2004-12-22,0,2,63,11.0
2004-12-23,0,2,100,11.0
2004-12-24,0,1,65,11.0
2004-12-25,0,2,56,11.0
2004-12-26,0,1,69,11.0
2004-12-27,0,1,48,11.0
2004-12-28,0,1,60,11.0
2004-12-29,0,1,69,11.0
2004-12-30,0,2,98,11.0
2004-12-31,0,1,50,11.0
2005-01-01,0,2,66,11.0
2005-01-02,0,2,35,11.0
2005-01-03,0,2,73,11.0
2005-01-04,0,3,66,11.0
2005-01-05,0,2,87,11.0
2005-01-06,0,2,89,11.0
2005-01-07,0,2,64,11.0
2005-01-08,0,2,36,11.0
2005-01-09,0,2,61,11.0
2005-01-10,0,3,72,11.0
2005-01-11,0,3,67,11.0
2005-01-12,0,2,67,11.0
2005-01-13,0,2,78,11.0
2005-01-14,0,3,81,11.0
2005-01-15,0,1,44,11.0
2005-01-16,0,2,60,11.0
2005-01-17,0,2,70,11.0
2005-01-18,0,3,80,11.0
2005-01-19,0,3,88,11.0
2005-01-20,0,3,82,11.0
2005-01-21,0,2,58,11.0
2005-01-22,0,3,61,11.0
2005-01-23,0,2,48,11.0
2005-01-24,0,2,72,11.0
2005-01-25,0,3,66,11.0
2005-01-26,0,2,65,11.0
2005-01-27,0,2,70,11.0
2005-01-28,0,4,66,11.0
2005-01-29,0,2,37,11.0
2005-01-30,0,2,51,11.0
2005-01-31,0,3,78,11.0
2005-02-01,0,2,77,11.0
2005-02-02,0,2,82,11.035714285714288
2005-02-03,0,2,65,11.071428571428573
2005-02-04,0,3,85,11.107142857142858
2005-02-05,0,2,43,11.142857142857142
2005-02-06,0,1,41,11.178571428571427
2005-02-07,0,2,72,11.214285714285712
2005-02-08,0,2,80,11.25
2005-02-09,0,3,74,11.285714285714285
2005-02-10,0,2,59,11.321428571428573
2005-02-11,0,3,94,11.357142857142858
2005-02-12,0,2,52,11.392857142857142
2005-02-13,0,2,52,11.428571428571427
2005-02-14,0,2,69,11.464285714285715
2005-02-15,0,2,82,11.5
2005-02-16,0,3,98,11.535714285714285
2005-02-17,0,2,78,11.571428571428573
2005-02-18,0,3,67,11.607142857142858
2005-02-19,0,2,42,11.642857142857142
2005-02-20,0,2,59,11.678571428571427
2005-02-21,0,2,56,11.714285714285715
2005-02-22,0,2,66,11.75
2005-02-23,0,2,60,11.785714285714285
2005-02-24,0,3,60,11.821428571428573
2005-02-25,0,2,55,11.857142857142858
2005-02-26,0,2,49,11.892857142857142
2005-02-27,0,2,42,11.928571428571427
2005-02-28,0,3,77,11.964285714285715
2005-03-01,0,3,89,12.0
2005-03-02,0,4,90,11.93548387096774
2005-03-03,0,3,100,11.870967741935484
2005-03-04,0,3,80,11.806451612903226
2005-03-05,0,2,60,11.741935483870966
2005-03-06,0,3,58,11.67741935483871
2005-03-07,0,2,80,11.612903225806454
2005-03-08,0,4,69,11.548387096774194
2005-03-09,0,2,44,11.483870967741936
2005-03-10,0,2,76,11.419354838709678
2005-03-11,0,3,79,11.35483870967742
2005-03-12,0,2,62,11.290322580645164
2005-03-13,0,2,59,11.225806451612904
2005-03-14,0,2,67,11.161290322580648
2005-03-15,0,2,70,11.096774193548386
2005-03-16,0,3,83,11.032258064516126
2005-03-17,0,3,68,10.967741935483874
2005-03-18,0,2,57,10.903225806451614
2005-03-19,0,2,60,10.838709677419354
2005-03-20,0,2,45,10.774193548387096
2005-03-21,0,2,62,10.709677419354838
2005-03-22,0,3,49,10.64516129032258
2005-03-23,0,3,94,10.580645161290322
2005-03-24,0,3,81,10.516129032258064
2005-03-25,0,3,56,10.451612903225808
2005-03-26,0,1,41,10.387096774193546
2005-03-27,0,2,54,10.322580645161288
2005-03-28,0,2,59,10.258064516129034
2005-03-29,0,3,72,10.193548387096774
2005-03-30,0,2,64,10.129032258064516
2005-03-31,0,3,70,10.064516129032258
2005-04-01,0,3,73,10.0
2005-04-02,0,1,41,9.933333333333334
2005-04-03,0,2,55,9.866666666666667
2005-04-04,0,3,71,9.8
2005-04-05,0,3,69,9.733333333333333
2005-04-06,0,3,67,9.666666666666666
2005-04-07,0,3,68,9.6
2005-04-08,0,2,60,9.533333333333333
2005-04-09,0,1,44,9.466666666666667
2005-04-10,0,2,66,9.4
2005-04-11,0,2,69,9.333333333333334
2005-04-12,0,3,70,9.266666666666667
2005-04-13,0,2,66,9.2
2005-04-14,0,3,69,9.133333333333333
2005-04-15,0,3,79,9.066666666666666
2005-04-16,0,2,55,9.0
2005-04-17,0,2,66,8.933333333333334
2005-04-18,0,3,72,8.866666666666667
2005-04-19,0,3,90,8.8
2005-04-20,0,2,78,8.733333333333334
2005-04-21,0,2,77,8.666666666666666
2005-04-22,0,2,67,8.6
2005-04-23,0,2,49,8.533333333333333
2005-04-24,0,2,32,8.466666666666667
2005-04-25,0,2,60,8.4
2005-04-26,0,3,78,8.333333333333334
2005-04-27,0,3,73,8.266666666666666
2005-04-28,0,3,59,8.2
2005-04-29,0,2,64,8.133333333333333
2005-04-30,0,2,29,8.066666666666666
2005-05-01,0,2,52,8.0
2005-05-02,0,2,75,8.0
2005-05-03,0,2,69,8.0
2005-05-04,0,2,52,8.0
2005-05-05,0,2,49,8.0
2005-05-06,0,3,63,8.0
2005-05-07,0,1,19,8.0
2005-05-08,0,2,54,8.0
2005-05-09,0,2,51,8.0
2005-05-10,0,2,68,8.0
2005-05-11,0,2,62,8.0
2005-05-12,0,2,56,8.0
2005-05-13,0,2,53,8.0
2005-05-14,0,1,32,8.0
2005-05-15,0,1,26,8.0
2005-05-16,0,2,69,8.0
2005-05-17,0,2,47,8.0
2005-05-18,0,2,71,8.0
2005-05-19,0,2,71,8.0
2005-05-20,0,3,69,8.0
2005-05-21,0,1,40,8.0
2005-05-22,0,2,37,8.0
2005-05-23,0,2,34,8.0
2005-05-24,0,1,33,8.0
2005-05-25,0,2,63,8.0
2005-05-26,0,2,65,8.0
2005-05-27,0,2,49,8.0
2005-05-28,0,2,26,8.0
2005-05-29,0,1,24,8.0
2005-05-30,0,1,37,8.0
2005-05-31,0,2,53,8.0
2005-06-01,0,2,63,8.0
2005-06-02,0,2,60,7.966666666666668
2005-06-03,0,2,49,7.933333333333334
2005-06-04,0,2,34,7.9
2005-06-05,0,2,29,7.866666666666666
2005-06-06,0,2,70,7.833333333333332
2005-06-07,0,2,51,7.8
2005-06-08,0,1,65,7.7666666666666675
2005-06-09,0,2,55,7.7333333333333325
2005-06-10,0,2,55,7.7
2005-06-11,0,1,26,7.666666666666668
2005-06-12,0,1,27,7.633333333333334
2005-06-13,0,1,31,7.6
2005-06-14,0,2,44,7.566666666666666
2005-06-15,0,2,56,7.533333333333332
2005-06-16,0,1,41,7.5
2005-06-17,0,1,32,7.466666666666668
2005-06-18,0,1,35,7.433333333333334
2005-06-19,0,1,34,7.4
2005-06-20,0,2,48,7.366666666666667
2005-06-21,0,2,48,7.333333333333332
2005-06-22,0,2,53,7.3
2005-06-23,0,2,47,7.2666666666666675
2005-06-24,0,2,54,7.2333333333333325
2005-06-25,0,1,30,7.2
2005-06-26,0,1,49,7.166666666666668
2005-06-27,0,2,61,7.133333333333333
2005-06-28,0,2,70,7.1
2005-06-29,0,2,49,7.066666666666666
2005-06-30,0,2,37,7.033333333333332
2005-07-01,0,1,38,7.0
2005-07-02,0,1,34,7.0
2005-07-03,0,1,32,7.0
2005-07-04,0,1,36,7.0
2005-07-05,0,2,45,7.0
2005-07-06,0,2,41,7.0
2005-07-07,0,2,39,7.0
2005-07-08,0,2,60,7.0
2005-07-09,0,1,27,7.0
2005-07-10,0,2,27,7.0
2005-07-11,0,2,61,7.0
2005-07-12,0,2,47,7.0
2005-07-13,0,1,45,7.0
2005-07-14,0,1,49,7.0
2005-07-15,0,2,40,7.0
