Date,adjusted,unadjusted,monthly
2004-08-23,1,34,8.709677419354838
2004-08-24,1,40,8.741935483870968
2004-08-25,1,40,8.774193548387096
2004-08-26,1,44,8.806451612903226
2004-08-27,1,40,8.838709677419354
2004-08-28,1,42,8.870967741935484
2004-08-29,1,26,8.903225806451612
2004-08-30,1,45,8.935483870967742
2004-08-31,1,48,8.967741935483872
2004-09-01,1,55,9.0
2004-09-02,1,44,9.066666666666666
2004-09-03,1,55,9.133333333333333
2004-09-04,1,27,9.2
2004-09-05,1,39,9.266666666666667
2004-09-06,1,28,9.333333333333334
2004-09-07,1,51,9.4
2004-09-08,1,49,9.466666666666667
2004-09-09,1,58,9.533333333333333
2004-09-10,1,50,9.6
2004-09-11,1,45,9.666666666666666
2004-09-12,1,53,9.733333333333333
2004-09-13,1,28,9.8
2004-09-14,1,62,9.866666666666667
2004-09-15,1,60,9.933333333333334
2004-09-16,1,53,10.0
2004-09-17,1,34,10.066666666666666
2004-09-18,1,54,10.133333333333333
2004-09-19,0,14,10.2
2004-09-20,1,43,10.266666666666666
2004-09-21,1,64,10.333333333333334
2004-09-22,1,71,10.4
2004-09-23,1,40,10.466666666666667
2004-09-24,1,77,10.533333333333333
2004-09-25,1,40,10.6
2004-09-26,1,44,10.666666666666666
2004-09-27,1,53,10.733333333333334
2004-09-28,1,43,10.8
2004-09-29,1,86,10.866666666666667
2004-09-30,1,78,10.933333333333334
2004-10-01,1,69,11.0
2004-10-02,1,29,11.03225806451613
2004-10-03,1,38,11.064516129032258
2004-10-04,2,84,11.096774193548388
2004-10-05,1,58,11.129032258064516
2004-10-06,1,74,11.161290322580646
2004-10-07,1,67,11.193548387096774
2004-10-08,1,62,11.225806451612904
2004-10-09,1,46,11.258064516129032
2004-10-10,1,68,11.290322580645162
2004-10-11,2,58,11.32258064516129
2004-10-12,1,46,11.35483870967742
2004-10-13,2,70,11.387096774193548
2004-10-14,1,82,11.419354838709678
2004-10-15,1,64,11.451612903225806
2004-10-16,1,49,11.483870967741936
2004-10-17,1,48,11.516129032258064
2004-10-18,2,63,11.548387096774194
2004-10-19,1,72,11.580645161290322
2004-10-20,1,77,11.612903225806452
2004-10-21,1,50,11.64516129032258
2004-10-22,1,47,11.67741935483871
2004-10-23,1,82,11.709677419354838
2004-10-24,1,47,11.741935483870968
2004-10-25,1,72,11.774193548387096
2004-10-26,2,90,11.806451612903226
2004-10-27,1,62,11.838709677419354
2004-10-28,2,81,11.870967741935484
2004-10-29,1,62,11.903225806451612
2004-10-30,1,14,11.935483870967742
2004-10-31,1,49,11.967741935483872
2004-11-01,2,92,12.0
2004-11-02,1,62,11.966666666666667
2004-11-03,2,65,11.933333333333334
2004-11-04,2,81,11.9
2004-11-05,2,81,11.866666666666667
2004-11-06,1,56,11.833333333333334
2004-11-07,1,28,11.8
2004-11-08,1,52,11.766666666666667
2004-11-09,1,63,11.733333333333333
2004-11-10,2,85,11.7
2004-11-11,2,91,11.666666666666666
2004-11-12,2,82,11.633333333333333
2004-11-13,1,46,11.6
2004-11-14,1,46,11.566666666666666
2004-11-15,2,61,11.533333333333333
2004-11-16,2,57,11.5
2004-11-17,2,79,11.466666666666667
2004-11-18,1,69,11.433333333333334
2004-11-19,2,69,11.4
2004-11-20,1,36,11.366666666666667
2004-11-21,1,26,11.333333333333334
2004-11-22,2,71,11.3
2004-11-23,2,67,11.266666666666667
2004-11-24,1,62,11.233333333333334
2004-11-25,1,41,11.2
2004-11-26,2,55,11.166666666666666
2004-11-27,1,62,11.133333333333333
2004-11-28,1,62,11.1
2004-11-29,2,61,11.066666666666666
2004-11-30,2,73,11.033333333333333
2004-12-01,1,79,11.0
2004-12-02,2,81,11.0
2004-12-03,2,89,11.0
2004-12-04,1,48,11.0
2004-12-05,1,26,11.0
2004-12-06,1,85,11.0
2004-12-07,2,87,11.0
2004-12-08,2,79,11.0
2004-12-09,1,66,11.0
2004-12-10,1,83,11.0
2004-12-11,1,51,11.0
2004-12-12,1,44,11.0
2004-12-13,1,59,11.0
2004-12-14,1,89,11.0
2004-12-15,2,84,11.0
2004-12-16,1,68,11.0
2004-12-17,1,53,11.0
2004-12-18,0,9,11.0
2004-12-19,1,49,11.0
2004-12-20,2,46,11.0
2004-12-21,1,52,11.0
2004-12-22,2,63,11.0
2004-12-23,2,100,11.0
2004-12-24,1,65,11.0
2004-12-25,2,56,11.0
2004-12-26,1,69,11.0
2004-12-27,1,48,11.0
2004-12-28,1,60,11.0
2004-12-29,1,69,11.0
2004-12-30,2,98,11.0
2004-12-31,1,50,11.0
2005-01-01,2,66,11.0
2005-01-02,2,35,11.0
2005-01-03,2,73,11.0
2005-01-04,3,66,11.0
2005-01-05,2,87,11.0
2005-01-06,2,89,11.0
2005-01-07,2,64,11.0
2005-01-08,2,36,11.0
2005-01-09,2,61,11.0
2005-01-10,3,72,11.0
2005-01-11,3,67,11.0
2005-01-12,2,67,11.0
2005-01-13,2,78,11.0
2005-01-14,3,81,11.0
2005-01-15,1,44,11.0
2005-01-16,2,60,11.0
2005-01-17,2,70,11.0
2005-01-18,3,80,11.0
2005-01-19,3,88,11.0
2005-01-20,3,82,11.0
2005-01-21,2,58,11.0
2005-01-22,3,61,11.0
2005-01-23,2,48,11.0
2005-01-24,2,72,11.0
2005-01-25,3,66,11.0
2005-01-26,2,65,11.0
2005-01-27,2,70,11.0
2005-01-28,4,66,11.0
2005-01-29,2,37,11.0
2005-01-30,2,51,11.0
2005-01-31,3,78,11.0
2005-02-01,2,77,11.0
2005-02-02,2,82,11.035714285714286
2005-02-03,2,65,11.071428571428571
2005-02-04,3,85,11.107142857142858
2005-02-05,2,43,11.142857142857142
2005-02-06,1,41,11.178571428571429
2005-02-07,2,72,11.214285714285714
2005-02-08,2,80,11.25
2005-02-09,3,74,11.285714285714286
2005-02-10,2,59,11.321428571428571
2005-02-11,3,94,11.357142857142858
2005-02-12,2,52,11.392857142857142
2005-02-13,2,52,11.428571428571429
2005-02-14,2,69,11.464285714285714
2005-02-15,2,82,11.5
2005-02-16,3,98,11.535714285714286
2005-02-17,2,78,11.571428571428571
2005-02-18,3,67,11.607142857142858
2005-02-19,2,42,11.642857142857142
2005-02-20,2,59,11.678571428571429
2005-02-21,2,56,11.714285714285714
2005-02-22,2,66,11.75
2005-02-23,2,60,11.785714285714286
2005-02-24,3,60,11.821428571428571
2005-02-25,2,55,11.857142857142858
2005-02-26,2,49,11.892857142857142
2005-02-27,2,42,11.928571428571429
2005-02-28,3,77,11.964285714285714
2005-03-01,3,89,12.0
2005-03-02,4,90,11.935483870967742
2005-03-03,3,100,11.870967741935484
2005-03-04,3,80,11.806451612903226
2005-03-05,2,60,11.741935483870968
2005-03-06,3,58,11.67741935483871
2005-03-07,2,80,11.612903225806452
2005-03-08,4,69,11.548387096774194
2005-03-09,2,44,11.483870967741936
2005-03-10,2,76,11.419354838709678
2005-03-11,3,79,11.35483870967742
2005-03-12,2,62,11.290322580645162
2005-03-13,2,59,11.225806451612904
2005-03-14,2,67,11.161290322580646
2005-03-15,2,70,11.096774193548388
2005-03-16,3,83,11.032258064516128
2005-03-17,3,68,10.967741935483872
2005-03-18,2,57,10.903225806451612
